地區 城市 名字 縮寫
大陸 北京 BEIJING PEK
大陸 上海 SHANGHAI SHA
大陸 天津 TIANJIN TSN
大陸 西安 XIAN SIA
大陸 杭州 HANGCHOW HGH
大陸 大連 DALIAN DLC
大陸 青島 TSINGTAO TAO
大陸 福州 FOOCHOW FOC
大陸 廈門 XIAMEN XMN
大陸 昆明 KUNMING KMG
大陸 南京 NANKING NKG
大陸 汕頭 SWATOW SWA
大陸 桂林 GUILIN KWL
大陸 成都 CHENGTU CTU
大陸 廣州 CANTON CAN
大陸 海口 HAIKOU HAK
大陸 長沙 CHANGSHA CSX
大陸 煙台 YANTAI YNT
大陸 重慶 CHONGQING CKG
大陸 溫州 WENZHOU WNZ
大陸 三亞 SANYA SYX
大陸 哈爾濱 HARBIN HRB
大陸 深圳 SHENGZHEN SZX
大陸 南昌 NANCHANG KHN
台港澳 香港 HONKKONG HKG
台港澳 澳門 MACAO MFM
台港澳 台北 TAIPEI TPE
台港澳 高雄 KAOHSIUNG KHH
東北亞 東京 TOKYO TYO
東北亞 大阪 OSAKA OSA
東北亞 名古屋 NAGOYA NGO
東北亞 札幌 SAPPORO SPK
東北亞 福岡 FUKUOKA FUK
東北亞 沖繩 OKINAWA OKA
東北亞 漢城 SEOUL SEL
東北亞 釜山 PUSAN PUS
東南亞 新加坡 SINGAPORE SIN
東南亞 吉隆坡 KUALA-LUNPUR KUL
東南亞 檳城 PENANG PEN
東南亞 怡保 IPOH IPH
東南亞 曼谷 BANGKOK BKK
東南亞 清邁 Chiang-Mai CNX
東南亞 普吉島 PHUKET HKT
東南亞 古晉 KUCHING KCH
東南亞 雅加達 JAKARTA JKT
東南亞 巴里島 DENPASAR DPS
東南亞 棉蘭 MEDAN MES
東南亞 巨港 PALEMBANG PLM
東南亞 泗水 SURABAYA SUB
東南亞 仰光 RANGOON RGN
東南亞 河內 HANOI HAN
東南亞 金邊 PHNOM-PENH PNH
東南亞 西貢 SAIGON SGN
東南亞 永珍 VIENTIANE VTE
東南亞 馬尼拉 MANILA MNL
東南亞 宿霧 CEBU CEB
東南亞 帝利 DILI DIL
東南亞 亞庇 KOTA-KINABALU BKI
東南亞 達卡 DACCA DAC
東南亞 詩鄔 SIBU SBW
東南亞 塞班 SAIPAN SPN
東南亞 汶來 BANDER-SERI-BEGAWAN BWN
東南亞 新得里 DELHI DEL
東南亞 喀布爾 KABUL KBL
東南亞 吉大港 CHITTAGON CGP
東南亞 喀拉蚩 KARACHI KHI
東南亞 東加大埔 TONGGATAPU TBU
東南亞 諾魯 NAURU INU
東南亞 碧港 BAGUIO BAG
東南亞 孟買 BOMBAY BOM
東南亞 可倫坡 COLOMBA CMB
東南亞 加爾各答 CALCUTTA CCU
東南亞 馬德拉斯 MADRAS MAA
東南亞 加得滿都 KATHMANDU KTM
